"","area_NoOrder","area_Krad","area_KshKrad","area_MR","area_Krisk","area_KriskKdegree","area_Kdegree","area_Degree","area_eigenc","Network","best"
"1",1,1,1,0.312,0.42,1,0.411,0.394,0.453,"M_PL_001.csv",0.312
"2",1,1,1,0.359,0.457,1,0.464,0.456,0.485,"M_PL_002.csv",0.359
"3",1,1,1,0.29,0.331,1,0.307,0.321,0.356,"M_PL_003.csv",0.29
"4",1,1,1,0.282,0.673,1,0.673,0.673,0.79,"M_PL_004.csv",0.282
"5",1,1,1,0.276,0.508,1,0.519,0.501,0.557,"M_PL_005.csv",0.276
"6",1,1,1,0.249,0.499,1,0.49,0.486,0.542,"M_PL_006.csv",0.249
"7",1,1,1,0.329,0.522,1,0.494,0.488,0.577,"M_PL_007.csv",0.329
"8",1,1,1,0.525,0.705,1,0.709,0.705,0.721,"M_PL_008.csv",0.525
"9",1,1,1,0.358,0.669,1,0.627,0.615,0.686,"M_PL_009.csv",0.358
"10",1,1,1,0.6,0.707,1,0.703,0.707,0.715,"M_PL_010.csv",0.6
"11",1,1,1,0.388,0.399,1,0.399,0.399,0.429,"M_PL_011.csv",0.388
"12",1,1,1,0.272,0.363,1,0.342,0.329,0.36,"M_PL_012.csv",0.272
"13",1,1,1,0.435,0.812,1,0.812,0.812,0.721,"M_PL_013.csv",0.435
"14",1,1,1,0.273,0.538,1,0.561,0.529,0.698,"M_PL_014.csv",0.273
"15",1,1,1,0.379,0.667,1,0.657,0.654,0.686,"M_PL_015.csv",0.379
"16",1,1,1,0.364,0.766,1,0.691,0.691,0.711,"M_PL_016.csv",0.364
"17",1,1,1,0.37,0.513,1,0.519,0.503,0.553,"M_PL_017.csv",0.37
"18",1,1,1,0.445,0.623,1,0.621,0.619,0.65,"M_PL_018.csv",0.445
"19",1,1,1,0.347,0.56,1,0.537,0.539,0.566,"M_PL_019.csv",0.347
"20",1,1,1,0.267,0.598,1,0.542,0.545,0.601,"M_PL_020.csv",0.267
"21",1,1,1,0.176,0.498,1,0.505,0.466,0.621,"M_PL_021.csv",0.176
"22",1,1,1,0.251,0.5,1,0.499,0.45,0.744,"M_PL_022.csv",0.251
"23",1,1,1,0.229,0.726,1,0.702,0.533,0.806,"M_PL_023.csv",0.229
"24",1,1,1,0.411,0.533,1,0.533,0.522,0.539,"M_PL_024.csv",0.411
"25",1,1,1,0.434,0.622,1,0.662,0.604,0.679,"M_PL_025.csv",0.434
"26",1,1,1,0.214,0.4,1,0.378,0.297,0.404,"M_PL_026.csv",0.214
"27",1,1,1,0.447,0.589,1,0.607,0.599,0.619,"M_PL_027.csv",0.447
"28",1,1,1,0.327,0.625,1,0.62,0.594,0.662,"M_PL_028.csv",0.327
"29",1,1,1,0.311,0.511,1,0.494,0.489,0.62,"M_PL_029.csv",0.311
"30",1,1,1,0.395,0.613,1,0.604,0.59,0.633,"M_PL_030.csv",0.395
"31",1,1,1,0.331,0.384,1,0.386,0.382,0.413,"M_PL_031.csv",0.331
"32",1,1,1,0.389,0.535,1,0.604,0.552,0.626,"M_PL_032.csv",0.389
"33",1,1,1,0.664,0.669,1,0.675,0.675,0.68,"M_PL_033.csv",0.664
"34",1,1,1,0.25,0.447,1,0.439,0.432,0.52,"M_PL_034.csv",0.25
"35",1,1,1,0.312,0.375,1,0.389,0.37,0.409,"M_PL_035.csv",0.312
"36",1,1,1,0.431,0.458,1,0.467,0.467,0.475,"M_PL_036.csv",0.431
"37",1,1,1,0.515,0.62,1,0.627,0.627,0.64,"M_PL_037.csv",0.515
"38",1,1,1,0.47,0.679,1,0.682,0.679,0.741,"M_PL_038.csv",0.47
"39",1,1,1,0.345,0.5,1,0.488,0.491,0.505,"M_PL_039.csv",0.345
"40",1,1,1,0.294,0.475,1,0.469,0.427,0.623,"M_PL_040.csv",0.294
"41",1,1,1,0.398,0.543,1,0.556,0.536,0.557,"M_PL_041.csv",0.398
"42",1,1,1,0.345,0.369,1,0.369,0.369,0.369,"M_PL_042.csv",0.345
"43",1,1,1,0.441,0.626,1,0.61,0.611,0.643,"M_PL_043.csv",0.441
"44",1,1,1,0.24,0.574,1,0.565,0.55,0.672,"M_PL_044.csv",0.24
"45",1,1,1,0.332,0.375,1,0.401,0.392,0.406,"M_PL_045.csv",0.332
"46",1,1,1,0.658,0.736,1,0.753,0.754,0.764,"M_PL_046.csv",0.658
"47",1,1,1,0.309,0.653,1,0.655,0.654,0.714,"M_PL_047.csv",0.309
"48",1,1,1,0.334,0.639,1,0.659,0.651,0.689,"M_PL_048.csv",0.334
"49",1,1,1,0.322,0.74,1,0.674,0.673,0.776,"M_PL_049.csv",0.322
"50",1,1,1,0.398,0.593,1,0.52,0.514,0.592,"M_PL_050.csv",0.398
"51",1,1,1,0.312,0.689,1,0.686,0.643,0.701,"M_PL_051.csv",0.312
"52",1,1,1,0.412,0.656,1,0.654,0.652,0.676,"M_PL_052.csv",0.412
"53",1,1,1,0.251,0.482,1,0.457,0.46,0.507,"M_PL_053.csv",0.251
"54",1,1,1,0.257,0.544,1,0.511,0.505,0.584,"M_PL_054.csv",0.257
"55",1,1,1,0.293,0.562,1,0.577,0.56,0.638,"M_PL_055.csv",0.293
"56",1,1,1,0.27,0.534,1,0.549,0.531,0.589,"M_PL_056.csv",0.27
"57",1,1,1,0.202,0.547,1,0.516,0.505,0.558,"M_PL_057.csv",0.202
"58",1,1,1,0.417,0.54,1,0.557,0.553,0.577,"M_PL_058.csv",0.417
"59",1,1,1,0.364,0.37,1,0.376,0.376,0.376,"M_PL_059.csv",0.364
"60",1,1,1,0.459,0.507,1,0.507,0.507,0.507,"M_SD_001.csv",0.459
"61",1,1,1,0.5,0.5,1,0.5,0.5,0.5,"M_SD_002.csv",0.5
"62",1,1,1,0.305,0.326,1,0.317,0.317,0.317,"M_SD_003.csv",0.305
"63",1,1,1,0.212,0.228,1,0.24,0.228,0.248,"M_SD_004.csv",0.212
"64",1,1,1,0.266,0.397,1,0.361,0.273,0.397,"M_SD_005.csv",0.266
"65",1,1,1,0.308,0.355,1,0.347,0.347,0.359,"M_SD_006.csv",0.308
"66",1,1,1,0.253,0.253,1,0.253,0.253,0.253,"M_SD_007.csv",0.253
"67",1,1,1,0.688,0.694,1,0.712,0.706,0.719,"M_SD_008.csv",0.688
"68",1,1,1,0.417,0.528,1,0.528,0.528,0.639,"M_SD_009.csv",0.417
"69",1,1,1,0.493,0.499,1,0.527,0.513,0.531,"M_SD_010.csv",0.493
"70",1,1,1,0.529,0.586,1,0.542,0.542,0.542,"M_SD_011.csv",0.529
"71",1,1,1,0.391,0.412,1,0.432,0.434,0.433,"M_SD_012.csv",0.391
"72",1,1,1,0.483,0.563,1,0.675,0.598,0.646,"M_SD_013.csv",0.483
"73",1,1,1,0.522,0.529,1,0.54,0.54,0.54,"M_SD_014.csv",0.522
"74",1,1,1,0.744,0.856,1,0.856,0.856,0.856,"M_SD_015.csv",0.744
"75",1,1,1,0.632,0.693,1,0.682,0.68,0.687,"M_SD_016.csv",0.632
"76",1,1,1,0.641,0.672,1,0.688,0.672,0.688,"M_SD_017.csv",0.641
"77",1,1,1,0.341,0.537,1,0.481,0.463,0.536,"M_SD_018.csv",0.341
"78",1,1,1,0.319,0.344,1,0.36,0.357,0.385,"M_SD_019.csv",0.319
"79",1,1,1,0.316,0.343,1,0.363,0.35,0.372,"M_SD_020.csv",0.316
"80",1,1,1,0.425,0.463,1,0.472,0.463,0.474,"M_SD_021.csv",0.425
"81",1,1,1,0.352,0.375,1,0.389,0.383,0.428,"M_SD_022.csv",0.352
"82",1,1,1,0.388,0.4,1,0.388,0.388,0.388,"M_SD_023.csv",0.388
"83",1,1,1,0.513,0.526,1,0.536,0.536,0.536,"M_SD_024.csv",0.513
"84",1,1,1,0.472,0.556,1,0.556,0.556,0.556,"M_SD_025.csv",0.472
"85",1,1,1,0.333,0.333,1,0.333,0.333,0.333,"M_SD_026.csv",0.333
"86",1,1,1,0.475,0.475,1,0.475,0.475,0.475,"M_SD_027.csv",0.475
"87",1,1,1,0.443,0.443,1,0.443,0.443,0.443,"M_SD_028.csv",0.443
"88",1,1,1,0.5,0.5,1,0.5,0.5,0.5,"M_SD_029.csv",0.5
"89",1,1,1,0.458,0.458,1,0.458,0.458,0.458,"M_SD_030.csv",0.458
